p5,cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d5,sf,regtrans
0,7002018,700,AFG,Afghanistan,2018,0,2,1,2,-1,-1,4,2,1,4,4,1,0,3,4,4,,,,,,,,,,,,,,,
1,3392018,339,ALB,Albania,2018,0,0,9,0,9,9,21,3,3,4,7,2,4,8,7,9,,,,,,,,,,,,,,,
1,6152018,615,ALG,Algeria,2018,0,0,3,1,2,2,14,2,0,0,5,3,3,5,5,6,,,,,,,,,,,,,,,
1,5402018,540,ANG,Angola,2018,0,0,2,4,-2,-2,21,2,1,4,3,3,4,3,3,8,,,,,,,,,,,,,,,
1,1602018,160,ARG,Argentina,2018,0,0,9,0,9,9,35,3,3,4,7,2,4,8,7,9,,,,,,,,,,,,,,,
1,3712018,371,ARM,Armenia,2018,1,0,7,0,7,7,20,2,2,4,6,2,4,7,6,9,5,4,23,2018,1,5,12,9,2018,1,7,2,1,,0
0,9002018,900,AUL,Australia,2018,0,0,10,0,10,10,117,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
0,3052018,305,AUS,Austria,2018,0,0,10,0,10,10,72,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
1,3732018,373,AZE,Azerbaijan,2018,0,2,0,7,-7,-7,23,2,1,4,2,4,2,3,2,2,,,,,,,,,,,,,,,
0,6922018,692,BAH,Bahrain,2018,0,0,0,10,-10,-10,6,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
1,2112018,211,BEL,Belgium,2018,0,0,8,0,8,8,74,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
1,4342018,434,BEN,Benin,2018,0,0,7,0,7,7,27,3,3,4,5,2,4,8,5,9,,,,,,,,,,,,,,,
1,4392018,439,BFO,Burkina Faso,2018,1,0,7,1,6,6,3,2,2,4,6,3,4,7,6,8,,,,,,,,,,,,,,,
0,7602018,760,BHU,Bhutan,2018,1,0,7,0,7,7,10,3,2,3,6,2,4,6,6,9,5,10,18,2018,1,,10,19,2018,1,7,2,1,,0
1,3702018,370,BLR,Belarus,2018,0,0,0,7,-7,-7,22,2,1,4,2,4,2,3,2,2,,,,,,,,,,,,,,,
