"HDI Rank","Country",2000,"",2005,"",2010,"",2011,"",2012,"",2013,"",2014,"",2015,"",2016,"",2017,"","2010-2017",""
169,"Afghanistan","..","","..","","6.2","","6.6","","8.9","","11.4","","10.2","","13.4","","15.9","","16.8","","16.8","a,b"
91,"Algeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","2.8","a,b,c"
148,"Angola","0.7","","1.3","","1.5","","..","","..","","..","","..","","..","","..","","..","","1.5","a,b"
46,"Argentina","11.4","","13.5","","16.7","","17.9","","17.6","","16.5","","15.5","","17.1","","16.1","","17.0","","17.0","a,b"
81,"Armenia","2.0","","3.0","","2.9","","3.2","","3.3","","3.2","","3.2","","3.0","","3.1","","3.4","","3.4","a,b"
8,"Australia","6.8","","7.2","","7.5","","7.7","","8.1","","8.5","","8.0","","7.5","","6.9","","..","","6.9","a,b"
18,"Austria","15.1","","17.5","","19.4","","19.7","","20.1","","21.1","","21.1","","22.7","","21.7","","..","","21.7","a,b"
88,"Azerbaijan","3.4","","4.5","","2.7","","1.5","","1.5","","1.6","","1.8","","1.8","","2.6","","2.4","","2.4","a,b"
42,"Bahrain","..","","..","","..","","..","","1.8","","1.6","","1.6","","1.6","","..","","1.6","","1.6","a,b"
133,"Bangladesh","3.0","","..","","..","","3.5","","3.6","","3.6","","..","","..","","2.8","","3.5","","3.5","a,b"
53,"Belarus","8.7","","8.1","","8.0","","7.8","","8.2","","8.3","","8.0","","8.5","","8.6","","9.2","","9.2","a,b"
14,"Belgium","..","","13.5","","15.1","","15.8","","..","","16.8","","17.4","","18.2","","18.3","","..","","18.3","a,b"
110,"Belize","10.7","","..","","11.3","","..","","..","","10.9","","10.4","","11.2","","10.6","","9.8","","9.8","a,b"
158,"Benin","12.6","","8.2","","..","","..","","9.9","","9.0","","8.3","","7.6","","8.5","","6.8","","6.8","a,b"
100,"Botswana","..","","5.5","","..","","..","","..","","..","","..","","..","","..","","..","","5.0","a,b,c"
