HDI Rank,Country,2010-2018,
69,Albania,33.2,a
91,Algeria,27.6,a
148,Angola,51.3,a
46,Argentina,41.4,a
81,Armenia,34.4,a
8,Australia,34.4,a
18,Austria,29.7,a
133,Bangladesh,32.4,a
53,Belarus,25.2,a
14,Belgium,27.4,a
158,Benin,47.8,a
129,Bhutan,37.4,a
107,Bolivia,42.2,a
73,Bosnia and Herzegovina,33.0,a
100,Botswana,53.3,a
84,Brazil,53.9,a
56,Bulgaria,40.4,a
182,Burkina Faso,35.3,a
185,Burundi,38.6,a
126,Cape Verde,42.4,a
153,Cameroon,46.6,a
16,Canada,33.8,a
188,Central African Republic,56.2,"a,b"
187,Chad,43.3,a
43,Chile,44.4,a
85,China,38.5,a
83,Colombia,50.4,a
156,Comoros,45.3,a
149,Congo,48.9,a
175,Democratic Republic of Congo,42.1,a
62,Costa Rica,48.0,a
43,Croatia,30.4,a
33,Cyprus,31.4,a
27,Czechia,24.9,a
162,Côte d'Ivoire,41.5,a
10,Denmark,28.7,a
166,Djibouti,41.6,a
88,Dominican Republic,43.7,a
86,Ecuador,45.4,a
116,Egypt,31.5,a
124,El Salvador,38.6,a
29,Estonia,30.4,a
138,Eswatini,54.6,a
173,Ethiopia,35.0,a
93,Fiji,36.7,a
11,Finland,27.4,a
26,France,31.6,a
119,Gabon,38.0,a
172,Gambia,35.9,a
61,Georgia,36.4,a
6,Germany,31.9,a
138,Ghana,43.5,a
32,Greece,34.4,a
127,Guatemala,48.3,a
178,Guinea,33.7,a
175,Guinea-Bissau,50.7,a
170,Haiti,41.1,a
132,Honduras,52.1,a
40,Hungary,30.6,a
4,Iceland,26.8,a
131,India,37.8,a
107,Indonesia,39.0,a
70,Iran,40.8,a
123,Iraq,29.5,a
2,Ireland,32.8,a
19,Israel,39.0,a
29,Italy,35.9,a
19,Japan,32.9,a
102,Jordan,33.7,a
51,Kazakhstan,27.5,a
143,Kenya,40.8,a
23,South Korea,31.6,a
120,Kyrgyzstan,27.7,a
137,Laos,36.4,a
37,Latvia,35.6,a
92,Lebanon,31.8,a
165,Lesotho,44.9,a
175,Liberia,35.3,a
34,Lithuania,37.3,a
23,Luxembourg,34.9,a
164,Madagascar,42.6,a
174,Malawi,44.7,a
62,Malaysia,41.0,a
95,Maldives,31.3,a
184,Mali,33.0,"a,c"
28,Malta,29.2,a
157,Mauritania,32.6,a
66,Mauritius,36.8,a
74,Mexico,45.4,a
136,Micronesia (Federated States of),40.1,a
90,Moldova,25.7,a
99,Mongolia,32.7,a
48,Montenegro,39.0,a
121,Morocco,39.5,a
181,Mozambique,54.0,a
147,Myanmar,30.7,a
130,Namibia,59.1,a
142,Nepal,32.8,a
8,Netherlands,28.5,a
128,Nicaragua,46.2,a
189,Niger,34.3,a
161,Nigeria,43.0,"a,c"
82,North Macedonia,34.2,a
1,Norway,27.0,a
154,Pakistan,33.5,a
115,Palestine,33.7,a
57,Panama,49.2,a
155,Papua New Guinea,41.9,"a,c"
103,Paraguay,46.2,a
79,Peru,42.8,a
107,Philippines,44.4,a
35,Poland,29.7,a
38,Portugal,33.8,a
49,Romania,36.0,a
52,Russia,37.5,a
160,Rwanda,43.7,a
86,Saint Lucia,51.2,a
111,Samoa,38.7,a
135,Sao Tome and Principe,56.3,a
168,Senegal,40.3,a
64,Serbia,36.2,a
67,Seychelles,46.8,a
182,Sierra Leone,35.7,a
39,Slovakia,25.2,a
22,Slovenia,24.2,a
151,Solomon Islands,37.1,a
114,South Africa,63.0,a
185,South Sudan,46.3,"a,c"
25,Spain,34.7,a
72,Sri Lanka,39.8,a
170,Sudan,34.2,a
7,Sweden,28.8,a
2,Switzerland,32.7,a
125,Tajikistan,34.0,a
163,Tanzania,40.5,a
79,Thailand,36.4,a
141,Timor-Leste,28.7,a
167,Togo,43.1,a
104,Tonga,37.6,a
95,Tunisia,32.8,a
54,Turkey,41.9,a
..,Tuvalu,39.1,a
159,Uganda,42.8,a
74,Ukraine,26.1,a
31,United Arab Emirates,32.5,a
13,United Kingdom,34.8,a
17,United States,41.4,a
55,Uruguay,39.7,a
140,Vanuatu,37.6,a
117,Vietnam,35.7,a
179,Yemen,36.7,a
146,Zambia,57.1,a
150,Zimbabwe,44.3,a
