Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5510","Production","1765","Meat, Total","2016","2016","tonnes","294873","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","3","Albania","5510","Production","1765","Meat, Total","2016","2016","tonnes","89461","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","4","Algeria","5510","Production","1765","Meat, Total","2016","2016","tonnes","807253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","7","Angola","5510","Production","1765","Meat, Total","2016","2016","tonnes","285501","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","8","Antigua and Barbuda","5510","Production","1765","Meat, Total","2016","2016","tonnes","274","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","9","Argentina","5510","Production","1765","Meat, Total","2016","2016","tonnes","5396663","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","1","Armenia","5510","Production","1765","Meat, Total","2016","2016","tonnes","106144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","10","Australia","5510","Production","1765","Meat, Total","2016","2016","tonnes","4696163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","11","Austria","5510","Production","1765","Meat, Total","2016","2016","tonnes","904770","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","52","Azerbaijan","5510","Production","1765","Meat, Total","2016","2016","tonnes","302227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","12","Bahamas","5510","Production","1765","Meat, Total","2016","2016","tonnes","7076","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","13","Bahrain","5510","Production","1765","Meat, Total","2016","2016","tonnes","41980","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","16","Bangladesh","5510","Production","1765","Meat, Total","2016","2016","tonnes","670257","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","14","Barbados","5510","Production","1765","Meat, Total","2016","2016","tonnes","18138","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","57","Belarus","5510","Production","1765","Meat, Total","2016","2016","tonnes","1172646","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","255","Belgium","5510","Production","1765","Meat, Total","2016","2016","tonnes","1805539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","23","Belize","5510","Production","1765","Meat, Total","2016","2016","tonnes","22313","A","Aggregate, may include official, semi-official, estimated or calculated data"
